CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2011,November,2011-11-01,6877
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2011,December,2011-12-01,10192
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2012,January,2012-01-01,6319
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2012,February,2012-02-01,6218
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2012,March,2012-03-01,6713
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2012,April,2012-04-01,6617
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2012,May,2012-05-01,6347
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2012,June,2012-06-01,6593
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2012,July,2012-07-01,6465
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2012,August,2012-08-01,6741
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2012,September,2012-09-01,6969
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2012,October,2012-10-01,6948
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2012,November,2012-11-01,7324
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2012,December,2012-12-01,10315
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2013,January,2013-01-01,6067
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2013,February,2013-02-01,6132
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2013,March,2013-03-01,6834
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2013,April,2013-04-01,6347
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2013,May,2013-05-01,6580
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2013,June,2013-06-01,6617
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2013,July,2013-07-01,6786
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2013,August,2013-08-01,6914
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2013,September,2013-09-01,6628
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2013,October,2013-10-01,6896
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2013,November,2013-11-01,7364
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2013,December,2013-12-01,10561
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2014,January,2014-01-01,6357
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2014,February,2014-02-01,5894
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2014,March,2014-03-01,6691
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2014,April,2014-04-01,6751
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2014,May,2014-05-01,6515
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2014,June,2014-06-01,6338
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2014,July,2014-07-01,6715
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2014,August,2014-08-01,6686
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2014,September,2014-09-01,6779
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2014,October,2014-10-01,7084
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2014,November,2014-11-01,7365
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2014,December,2014-12-01,10720
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2015,January,2015-01-01,6629
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2015,February,2015-02-01,6068
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2015,March,2015-03-01,6588
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2015,April,2015-04-01,6739
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2015,May,2015-05-01,6923
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2015,June,2015-06-01,6333
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2015,July,2015-07-01,6724
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2015,August,2015-08-01,6715
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2015,September,2015-09-01,6705
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,10,2015,October,2015-10-01,7272
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,11,2015,November,2015-11-01,7381
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,12,2015,December,2015-12-01,10539
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,1,2016,January,2016-01-01,6676
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,2,2016,February,2016-02-01,6241
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,3,2016,March,2016-03-01,6652
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,4,2016,April,2016-04-01,6856
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,5,2016,May,2016-05-01,6610
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,6,2016,June,2016-06-01,6650
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,7,2016,July,2016-07-01,7061
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,8,2016,August,2016-08-01,6848
"Retailers of food, beverages and tobacco in specialised stores",At constant prices,Actual values,9,2016,September,2016-09-01,7220
